시도별,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024
시도별,15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15-64세 고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15-64세 고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15-64세 고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15-64세 고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15-64세 고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15-64세 고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15-64세 고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15-64세 고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15-64세 고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15-64세 고용률 (%)
계,"43,239","27,153","26,178",976,"16,086",62.8,3.6,60.5,65.9,"43,606","27,418","26,409","1,009","16,187",62.9,3.7,60.6,66.1,"43,931","27,748","26,725","1,023","16,183",63.2,3.7,60.8,66.6,"44,182","27,895","26,822","1,073","16,287",63.1,3.8,60.7,66.6,"44,504","28,186","27,123","1,063","16,318",63.3,3.8,60.9,66.8,"44,785","28,012","26,904","1,108","16,773",62.5,4.0,60.1,65.9,"45,080","28,310","27,273","1,037","16,770",62.8,3.7,60.5,66.5,"45,260","28,922","28,089",833,"16,339",63.9,2.9,62.1,68.5,"45,407","29,203","28,416",787,"16,204",64.3,2.7,62.6,69.2,"45,570","29,399","28,576",823,"16,172",64.5,2.8,62.7,69.5
서울특별시,"8,611","5,391","5,165",226,"3,220",62.6,4.2,60.0,65.5,"8,583","5,372","5,146",226,"3,211",62.6,4.2,60.0,65.8,"8,557","5,396","5,152",244,"3,161",63.1,4.5,60.2,66.4,"8,521","5,335","5,080",254,"3,186",62.6,4.8,59.6,66.0,"8,478","5,319","5,086",233,"3,159",62.7,4.4,60.0,66.3,"8,516","5,293","5,051",241,"3,223",62.1,4.6,59.3,65.9,"8,533","5,312","5,055",257,"3,221",62.3,4.8,59.2,66.6,"8,465","5,295","5,113",181,"3,171",62.5,3.4,60.4,68.4,"8,469","5,319","5,174",146,"3,150",62.8,2.7,61.1,69.5,"8,470","5,393","5,228",164,"3,078",63.7,3.0,61.7,70.4
부산광역시,"2,993","1,756","1,684",71,"1,238",58.7,4.1,56.3,62.7,"3,001","1,754","1,686",69,"1,247",58.5,3.9,56.2,62.6,"2,992","1,766","1,685",81,"1,226",59.0,4.6,56.3,63.4,"2,975","1,729","1,657",71,"1,247",58.1,4.1,55.7,62.9,"2,960","1,741","1,676",65,"1,219",58.8,3.7,56.6,64.2,"2,948","1,712","1,640",72,"1,237",58.1,4.2,55.6,62.9,"2,949","1,715","1,657",58,"1,234",58.2,3.4,56.2,63.9,"2,939","1,730","1,679",51,"1,209",58.9,3.0,57.1,65.4,"2,930","1,746","1,691",55,"1,184",59.6,3.1,57.7,66.5,"2,920","1,740","1,688",52,"1,181",59.6,3.0,57.8,66.9
대구광역시,"2,096","1,291","1,246",45,805,61.6,3.5,59.4,65.4,"2,102","1,301","1,247",54,802,61.9,4.1,59.3,65.3,"2,108","1,291","1,239",52,817,61.2,4.0,58.8,65.0,"2,106","1,282","1,226",56,824,60.9,4.4,58.2,64.2,"2,104","1,266","1,219",47,838,60.2,3.7,57.9,64.2,"2,091","1,232","1,184",48,859,58.9,3.9,56.6,63.0,"2,090","1,265","1,217",47,825,60.5,3.7,58.2,65.5,"2,077","1,265","1,228",37,812,60.9,2.9,59.1,66.9,"2,086","1,286","1,247",39,800,61.7,3.1,59.8,67.8,"2,096","1,258","1,215",43,838,60.0,3.4,58.0,65.6
인천광역시,"2,433","1,567","1,488",79,867,64.4,5.0,61.1,65.9,"2,461","1,598","1,520",78,863,64.9,4.9,61.8,67.2,"2,485","1,607","1,533",75,878,64.7,4.6,61.7,67.3,"2,503","1,645","1,575",70,858,65.7,4.3,62.9,68.6,"2,529","1,653","1,581",72,876,65.4,4.4,62.5,68.3,"2,544","1,634","1,560",74,910,64.2,4.6,61.3,66.9,"2,548","1,629","1,563",66,920,63.9,4.0,61.3,67.4,"2,575","1,670","1,614",56,906,64.8,3.3,62.7,69.4,"2,623","1,709","1,655",54,914,65.2,3.2,63.1,69.4,"2,671","1,753","1,696",57,918,65.6,3.3,63.5,70.0
광주광역시,"1,253",755,733,22,498,60.3,2.9,58.5,63.2,"1,257",753,730,23,504,59.9,3.1,58.1,62.5,"1,260",766,744,22,494,60.8,2.9,59.0,63.8,"1,261",779,749,30,483,61.7,3.8,59.4,64.6,"1,265",778,750,29,486,61.5,3.7,59.3,64.5,"1,274",778,748,30,497,61.0,3.9,58.7,63.8,"1,280",772,745,28,508,60.3,3.6,58.2,63.4,"1,279",772,750,22,507,60.4,2.9,58.6,64.3,"1,280",789,769,20,491,61.6,2.5,60.1,65.6,"1,279",799,774,24,480,62.5,3.0,60.6,66.0
대전광역시,"1,291",797,770,27,494,61.7,3.4,59.6,64.6,"1,295",800,774,26,496,61.7,3.2,59.7,64.6,"1,296",791,764,27,505,61.0,3.4,58.9,64.0,"1,293",792,759,34,500,61.3,4.2,58.7,63.9,"1,291",806,772,34,485,62.4,4.2,59.8,65.3,"1,286",816,780,36,471,63.4,4.4,60.7,66.2,"1,288",811,785,27,477,63.0,3.3,60.9,66.7,"1,288",813,794,19,475,63.1,2.4,61.6,67.9,"1,294",820,797,23,474,63.4,2.8,61.6,67.8,"1,302",814,789,25,488,62.5,3.0,60.6,67.2
울산광역시,970,590,573,17,380,60.8,2.9,59.0,62.5,976,599,576,23,378,61.3,3.8,59.0,62.4,976,605,584,21,372,61.9,3.5,59.8,63.9,973,602,574,28,371,61.8,4.6,59.0,63.6,967,596,571,25,370,61.7,4.2,59.1,63.7,964,585,560,25,379,60.7,4.2,58.1,62.9,962,575,555,21,386,59.8,3.6,57.7,62.9,956,584,566,19,372,61.1,3.2,59.2,64.7,957,592,572,20,365,61.9,3.4,59.7,65.5,957,594,572,22,362,62.1,3.7,59.8,65.9
